text	label
하여간 더럽게 역겨움	1
캐릭터 디자인 특이하다	0
젖되니까 눈물나고 후회되는거지 쓰레기야	1
오늘밤 주인공은 나야나	0
이란이 통제 당하고 있어서 시위하나 안날거라던 병신새끼들 어디갔노	1
2회연장했군요.하여튼.방송국.것들은.ㅋㅋ	0
주연배우들은 연기말고 광고만 나와 제바류	0
꼬시다 꼬수워노가다 세끼들 제발 좌파해라 쪽팔린다	1
ㄱㅁㄴ 유력하다	0
본인, 준틀딱이라 도저히 이해가 안가는데 일종의 놀이문화 아닐까? 펭수도 그렇고 모르겠다	1
제라스 진짜 막하네	0
호라이즌모양	0
홍족발 버닝썬 해명좀	0
개치사하네	0
거부기	0
나때는 스카이 내지 포항공대 진짜 드물게 서강대 까지만 학원 선생 가능 했는데세상에중앙대 출신이라니	0
알투디투는 조그만 로봇	0
그르든지 말든지	0
잘생겼네. 아부럽	0
동성애자들 다 죽어라 좀	1
슨타크 되게 젊은 애인 줄 알았는데 나이 많은 아재더만 다시 봐도 정말 안타깝다  재활은 잘 되었는지 초긍정 마인드 ㅆㅅㅌㅊ	1
일베놈들 이참에 박멸가즈아~~~	1
아니 탱크 5개 죽는건데 뭐하냐 던 ㅋㅋㅋ	0
역시 조선인들 미개함은 유전이다	1
저방도 잼네	0
아 아이스크림 먹고싶다	0
틀니대표당으로 바꾸라니깐	1
울타리로 아까 세우라고 했는데	0
박신혜 기타치는 모습 레알 아름다웠다..	0
그러니까 사기도박꾼들 임짜고치는 대국민 사기고스톱	0
저글링은 날먹이아니라네요	0
도네 열어둔 물쥐잘못이지 왜 욕을해	0
솔직히 부럽다..	0
븅신 보빨련 ㅁㅈㅎ나 쳐먹어라 이기	1
증거 좀 보여주라	0
그럼 전화로 시켜 병신아	1
ㄹㅇ 명령을 그렇게 칼같이 내야 공권력이 살고 아가리 닥치고있지노무현때 촛불들었으면 애새끼들 다 화형당했을듯	1
멀티도 나와요	0
그저 좀 걱정되긴해... 노래잘뽑히고 막 엄청 홍보한게임치고 생각보다 흥한게없어...ㅠㅠㅠ	0
쌈디 다시 나와라..	0
맞네.. 이걸...	0
저여자 팔목에 문신 있던데 ㅡ혹시	0
너도 스타야 ㅋㅋㅋ	0
?? 업데이트? 업글? 업글은 뭔데?	0
우파는 더이상 가망없어	0
셋이 합치면 되지 몸도좋은데	0
둘다이쁘고 연기도잘하고..수호해라결혼해라	0
벌처 나오묜	0
헤이마마	0
당근아니노	0
방송용 썸은 모두 거짓말.	0
은행에 대출 상담 받으러 가보면 직업의 귀천 바로 알려줌	0
씨발 내가 너 좋와하면 안되냐! 내가 너 좋와하면 안되냐! 내가 너 좋와할수도 있자나 이런 씨발 세상 좃같은 것들이 왜 나한테 지랄들이야 그래 안그래!!	1
이름만 들어도 10덕냄새가	1
ㅋㅋㅋ우주 연기력 ㅆㅎㅌ	1
그래픽 딱 저정도 나오면 좋겠다	0
아아 감사합니다!	0
4인 합방하깆도 좋죠	0
오늘 기안 지금까지 중 가장 느낌 있었음	0
빅 신봉자인데 ㅋㅋㅋㅋ	0
상황설명좀	0
말이냐 방구냐	0
Nos sali terrorista @kingzak97	0
에도시대 막부가 세운 에도 의학관에서 나온 의학 책, 인중황(人中黄)이다	0
이 새끼가 이 글에 나온 틀딱마인드네 딱 ㅋ	1
모자이크 했지만 딱 봐도 턱돌이네..	0
훨씬이쁘네	0
왜 그대가 유감이냐 냅둬라 좀	0
줄거리 말고 왜그랬냐고...제목답게 써봐라좀	0
이름에 존 들어간 애들이 쌔다 제임스는 안됨	0
똑같네 추천	0
주ㄱㄱㄱ	0
그러게 과학적입증없이 그냥 완치했다면 믿음이안감 저약때문에 완치한건지 과학적으로 증명이 불가하다	0
여긴 진짜 신기하게 특출난 메인보컬이 없다 다들 와꾸 딸려도 메인 하니씩은 꼭 집어넣는데지효빼면 다 심각한 수준이던데	1
이 멍청한ㅋㅋ	0
포스포큰...붉은사막선에서 해결가능	0
최진실 최진영 최진리 ....	0
"답글 글씨체를 봐라 저게 애새끼가 쓴거냐?""빨갱이새끼가 쓴거지 ㅁㅈㅎㅉㅉㅉㅉ"	1
타죽었으면 좋겠다	1
고등어회 먹고싶다..	0
너무 이뻐서 저평가받는 특이한 케이스	0
구혜선 힘든여자 같어ㅜㅜㅜㅜ	0
홍진경이랑 결혼하지 않앗나?	0
ㅋㅋ돈은많아도 대리부르는건 아까운갑네ㅋㅋ	0
멋진도전...터닝포인트!	0
하마사키 마오 꼭본다	0
농어촌이면서 공부 되게 잘했던거처럼 방송에서 말하더만	0
몇 개 박아보자	0
기사 하단의 좋아요 싫어요 슬퍼요는 의미없지않냐?존나게 슬프고 가슴아픈 기사의 내용이지만, 이 기사를 메인으로 올리고싶다고 판단하는 새끼들은 그 슬픈기사에 좋아요를 누를테니ㅄ같이 기사 하단 조아요시러요 같은 논리는 적지말자	1
천원 이천원이 니한텐 무지 큰돈인갑네 ㅋㅋㅋㅋ	0
물쥐야 해줘	0
너네 두사람은 좀 적당히나대라	0
ㅋㅋㅋ 소숨 ㅋㅋㅋ	0
7등급 대가리면 용접기술직도 못함	1
승윤씨 ~ 현석씨~항상 응원합니다^^	0
이번에 밸런스좋다	0
설마 맨흙에 꽃심어?	0
루화영 진짜 불쌍하다;;	0
충분히멋있다 건들면후회함	0
수맥이 흐르네	0
예능 나오면서 재미 없는건 죄지	0
ㅋㅋ랩이라도 잘해서다행	0
저 남자새끼 관상이 너무 드러워서 안보는 프로	1
싸 선배님 ㅋㅋㅋ	0
쓰레기들 정화좀 시킵시다	1
민석이도 눈이 있지 ㅡ.ㅡ	0
배신감 생기라고 하나 만들어야겠다	0
남자는 호구 여자는 이기적 애기는 불쌍	0
ㅠㅠㅠ 눈물나..	0
ㅣㅈㄴ짜 개실망	1
ㅋㅋ ㅇㅈ	0
똥돼지는 좀 사라지고 영영 나타나지마라	0
무도 초창기 버전 보고싶다	0
하지말고	0
두디 이러다가 뇌 말랑말랑해지겟어	0
보수논객 10명 합친거보다 효과 ㅅㅌㅊ	0
마담년을 조지야된다 나쁜인간이다	1
밑에서 부터 한층씩 해보자	0
진짜 일반인	0
고속버스들어가는게 쉬운것이 아니라 알고 있기에 키보드로 손털어봄	0
배달료 쩔음	0
오빠가 안아줄게 이리와	0
또 식사냐유해진은 음식 1도못하잖아	0
?: 탑왜 계속 죽텔죽하는거야! 아짜증나진짜!1	0
아...듣기 싫은 목소린데...쇳소리.	0
명예의 전당에 올라갈 글이네요^^	0
앞차 블박보고 이미사고난거였으면 니 말이 맞는데 지금 증거로는 내말이 맞다	0
부럽다 이런외모ㅋㅋㅋ남잔데도 부럽다	0
유쾌한 광희! 돌아와서 승승장구하기!	0
남양주병 힘내자	0
딜레이 떔에 ㅋ	0
예쁘긴 개뿔 혀짭아서 연기 더럽게 못하는데	1
흐름이긴 해	0
개인적으론 롯데월드가 나음	0
사회혼란 조장하려고 무리수 던지는거임	0
레넥톤 사망 ㅋㅋ	0
앞으로 어케될지몰라도 지금은 월급쟁이보다 훨씬버는중ㅋㅋ	0
마시멜로처럼 참아	0
이사한번하면 몇년치가 쌓여버림	0
김태리 목소리 멋져요^^^	0
삼성 지하실에 외계인 있냐?	0
국적바꿔라.이게 친일파	0
짜오 6도류	0
드워프=김리	0
ㅋㅋㅋㅋ '해줘'	0
아 윌리엄 미치겠다 ㅠㅠㅠㅠ	0
pshadyWow	0
도마 자꾸 겨드랑이에 끼는거 보고 깜놀. 윽	0
안타까운건 니사정이고 니도 잘못했다 ㅉㅉ	1
삼국시대는 빨아도 됨	0
김성재랑 얼핏 닮았음 여자들이 좋아할스턀	0
집세 및 생활비로 나가는돈 떼면 남는게 없음	0
일본애들 실력까진 안되지 ㅋ	0
뭐야 결국 데이지만 손해네역시 와이지네	0
그저....챔프차이	0
근데 조물주 위에 건물주 위에 광고주	0
생산아까 멈춘게 크네	0
ㅇㅈ 이긴해 ㅋㅋ	0
송가인 양준일 뭐시다냐	0
둘 다 귀여우심ㅎㅎㅎ 축하드려요~	0
선남선녀.솔직히부럽다.	0
절라도 문재인 찍었음	0
집에있는 25만원짜리 가검 휘두르다창문깸	0
그래서 생체실험이 없었다는거냐	0
메갈들 눈물의 비공튀ㅋㅋㅋ	1
재발발바랍라	0
목사도 아니잖어 쟤는	0
세상 모든 여자들이 그렇게 날 좋아하는거였구나	0
제2의 송송커플이 될듯...	0
하여간 쿵쾅이년들 ㅉㅉ 그만악플달아라	1
이게 다 최종범 때문이다. 악마 최종범	0
병신	1
나아질만하면 터지고.. 나아질만하면	0
머지??? 일성 정일 정은 부자 머라할게 아닌거 같은데??	0
사람들 녹두꽃 안봤나보군.ㅜ	0
진짜잘어울리고 좋음너무부담주지맙시다	0
아폰살돈은 없지만 저거 살만한 돈은 있는거지 하얀 콩나물 허세부리기도 좋고 딱이지 않냐?	0
아밑에 글도 구라다 저기 보신탕집안다	0
구라치지마라 수학 모르는 데 어케 전기기사까지 가 복소수,삼각함수, 미적분 다 공부하더만	1
병풍 취급당하네 불쌍하다	0
진 덫텔인가	0
잼민이들 ㅋㅋㅋㅋ	1
니까짓게 이길수나 있노	1
예술작품 ㅋㅋㅋㅋ	0
이겼음 븅들아 ㅋㅋㅋ	1
상어씨 얘가하세요ㅕ	0
혼란하네	0
자려고했는데 ㅠ	0
텔레그램 n번방 검색해보니 안나오는거 같던데 폭파되었노	0
토스가 유리함	0
김종민씨 따로 만나는 분 있으신듯	0
리벤쥐	0
이새끼 나이도 존나 마니 처먹은 들딱이더만	1
원래 양남들은 잘 안갈아입는다 ㅋㅋ	0
우리나라였으면 남성1년 집해유예, 엄마 20년 때릴것같네요 아님말구	0
짱깨 빨아주는 기레기 클라스보소 ㅋㅋ	1
므ㅓㄴ 씨벌 ㅋㅋㅋㅋㅋ	1
ㅈ간이 미안해 ㅜㅜ	1
눈사람 죽어욧 ㅠㅠㅠ	0
그러니까 살찌는이유가있다 살찐돼지 박나래년	1
2D여고생 젖탱이가 더 꼴림	1
병신새끼사표쓰고 나와서 TO 하나 생기면 그자리는 또 시체팔이 민주팔이 씹새끼들한테 줄서기 바쁜 무능한 개새끼가 앉을게 뻔한데문가새끼 좋은 일 해놓고 뭐 잘했다고어휴검사라는 새끼가 생각이 저래 짧아갖고ㅉㅉㅉㅉ	1
빅토르게이야 방송보고있노 ㅋㅋ	1
소년원다녀온게무슨 큰 죄라고 들춰내는지	0
저번에 누구 사귄다고 뜨지않음?	0
ㅇㅎ 과거도 현재도 민족의식 애국심 존나 안드는건 마찬가진가지네	1
욱하는건 정말 병원에서 좀 고쳐줬으면	0
이제 끝낼때가됐다 매니저들대부분 노브레인	0
저렇게 어그로 끌어도 구독자는 55만에서 안늘더라	0
버릴건 버리자	0
퇴물 핑클 옥주현과거 돼지색 ㅋㅋㅋ	1
숟가락 얻지말고 그만 나대라	0
가만보면 승리자는 제시카인거같음 ㅋ	0
이게 스우파지 아 ㅋㅋ	0
수술도 남자 의사가 잘한다	0
쏴리 엑소 인기맴버 첸이 일반인과 과속으로 인한 결혼소식을 공지했어	0
이세계 영국 재건기 ㅋㅋㅋ	0
인생 곱창나는 최단기 루트탔네	0
15억 제한걸면 밑에껄로 투기 한다고 일베애들도 그리 말하더만 이 정신병자 정권은 시장을 거슬리려고 환장을 했어	1
청하 이번노래 굿굿	0
난 근데 담배 피다 걸린거면 딱히...	0
한채아 좀 비호감	1
토요일에 짠대 ㅋㅋㅋㅋ	0
스위치에서 저게 되려나	0
이건 걍 뮤직비디오...	0
야한 생각 좀 줄여요 그럼	0
노잼노스트레스더블에이석섹스 댓글문화도 어느순간 사라짐ㅋㅋ	0
언제까지수사하노	0
좆문가 o좃문가 x	1
업도 안쳐서 이길수가 없네	0
박나래 아니냐?	0
넌 나의 세상 넌 나의 빛 oh my heart	0
그게 맞지 프로도 아니고 ㅋㅋ	0
에이프릴 나은인줄 알았잖어... 낚였네	0
뭔가 짬뽕같은데	0
그게 찐친이지	0
결국 정규프로그램됐네!	0
ㅋㅋㅋㅋ마쟈 ㅋㅋㅋㅋ	0
얘는 망명하는게 살길 같은데ㅋ	0
메갈작가 원작 꼴도 보기싫다..	1
그 누님	0
그럼 어묵 많이 드세요.	0
야 연기잘한다 ㅎㅎ	0
선진국에선 저런 마인드가 당연한건데 왜 유독 한국에서는 여자는 힘든일 하면 안된다는 인식이 있을까	0
루미코 대단한듯 낯선나라와서	0
어렸을 때부터 키웠던 리트리버 키우고 일주일만 슬펐다 죽음에 너무 슬퍼하면 약해진다	0
오연수 이연수 다른 사람인데	0
지섭이 오빠는 안와서 다행이다 ㅋㅋㅋ	0
ㅋㅋㅋ 프리스틴애들이잘나갔으면 이런일도없지	0
진 무빙보소ㅋㅋ	0
이제 맞을일만 남았다	0
저기 빨간분은 모자이크해도...	0
초연이라는 노래도 너무 좋습니다	0
사형보다 더 큰 벌이네	0
농사보다 사냥이 먼전데 기간은 개가 더 길지	0
정준호 한물갔는데	0
CSI 그리섬 반장님 ㅠ	0
두번째 한개의 증명서 오픈하면서 기	0
한심한 놈들 @@	1
ㅋㅋㅋ 낚이심	0
얼마나 육아스트레스가 심했으면 저랬을까	0
이 개씹새끼 감성팔이로 일베 두 번 왔네 딸 팔아서 일베 렙업하려는 호로새끼 ㅋㅋㅋ ㅁㅈㅎ 쳐먹어라	1
너란다 ㅋㅋㅋ	0
그냥 집밥처먹으면 될것을 왜 ㅂㄷㅂㄷ하놐ㅋㅋㅋ	0
노.인네 풀풀노잼..	0
그만해 ㅋㅋ	0
나만 제니가 아깝나...	0
디지털이 발전하면서 예견됐던 일이지 근데 여자가 먼저 찍자고 하던데	0
아닌척하고 올려야 운영자가 안지우지 병신아	1
뻥피엠 ㅋㅋ	0
고발 씹가능	1
메롱시티야 ?	0
오히려 무시해주면 좋아함 열악한척 하면서 꿀통에 꿀채우거든	0
조선인들이 과연 저리행동을할까	0
김성주깨방정보다 나은데	0
어우시발꼴려	1
ㄴㄴ 영화계에선 타율로봄 원빈은 나온영화 다 대박쳤고 다 연기력 좋게 평가받음 장동건은 친구 태극기 빼고 다좆망 원빈은 태극기 아저씨 포함 나온건 다 흥 이 차이야 영화계에선 그래서 원빈 >>>> 장동건 이렇게봄	1
사진작가: 컷! 얼릉 옷입으세요	0
밤에 좀비가 파쿠르 하면서 쫓아옴	0
원래 죨라이쁨	1
기본에 충실하면	0
일본어 잘하나보네	0
깃창으로 스킬 2개 끊네 ㅋㅋㅋ	0
와 코 존1나크네	1
부모님 생신이니까 보약한채 지어달라고 문자보내세요그리 어려운 부탁 아니라고 하면서	0
그러니깐 여기가 딱이라니깐 올라가지마	0
누군가 아까워보이지않냐 ㅋㅋ	0
폴가이즈 ㅋㅋ	0
현금으로 2000억을 가지고 있는 개인이 있댜고?	0
정치 얘기로 아가리 먼저 터는 새끼 10에 9는 좌파성향 ㄹㅇㅍㅌ	1
어디든 똑같이 한쪽으로 치우치면 안된다	0
차종으로 지씨를 멕이네	0
2패만 더하면 고수달이랑 같은 점수다 ㅋㅋㅋ	0
똥푸산대ㅇㅂ	0
할마시들이 가져가겠지	0
이거 무슨 아이디 같지 않아요?	0
잠시가 아닙니다	0
동의 완료	0
오 ㄱㅊ노?? 박 하나 심어놓은다음에 존나패는거	1
씨벌련이 닉변하고 아침에 올린거 토씨하나 안바꾸고 그대-로 좆중복 조져버리네 씨벌련아 ㅁㅈㅎ	1
그래서 지금 돈 벌고 있고 이번년도에 원서 넣어볼까 싶어서	0
끼리끼리만난다는 진리는 영원하다 홍수현도 머	0
자르반도 풀캠임?	0
문재다문재 승징빙세끼들	1
머래 병신새끼	1
근성파 괴물쥐	0
호남향우회들 열렬한 지지 남평문씨 북한홍어 좆재인	1
개소리ㅁㅈㅎ	1
컨셉은 뻔하고 노래는 귀에안들어옮~	0
맨 마지막 앤딩공연은 방탄이겠지?^^	0
건강하게 예쁘다^^	0
심하당	0
목도리 같은 건 펜디	0
그래도 태희 시현이 둘이 있으니까 좋네	0
연기 미친듯이 잘했음	0
이딴걸왜퍼오노	0
유미합체한 이즈가 제일꼴보기싫음	0
저런 ㅅㄲ는 아싸든 히키든 인생에 전혀 지장없겠노물론 주변에서 물고빨고 ㅈㄹ나겠지만	1
6시머해	0
지니 반했어요	0
게다가 도움 주려고 주변 정리 해준 여자랑 고양이 때문에 파혼 >< 미챠	0
주니어랑 봐 그러면 ㅋㅋ	0
트린한테 터지던?	0
키스해서 빼줘야자	1
짐캐리네 ㅋㅋㅋ	0
춘추가..	0
한녀 : 어쩌라구요? 아~ 감주 오늘 여탕이네 시발	1
오 지뢰를 썼어	0
전부 본업에 재능없는애들 끼리 친하네 ㅋ	0
너의 주장에는 확신만 있고 근거가 없다	0
박보검....ㅋㅋ 송혜교대단하다	0
치아보이게웃지마 모지리가텅ㅋㅋㅋ	0
유세윤 장동민 할매가뿔났다 조합이네ㅋㅋㅋ	0
맘충들	1
??? : 축하드립니다! [뉴트리아 슬레이어] 칭호을(를) 획득하셨습니다 이제 다른 유저에게 칭호가 노출되게 됩니다	0
부부클리닉 나오던 분이랑 진짜 닮음 !	0
제발 찌라시 수돕!악플 수돕이 답이다	0
따먹고버린거지 남자는 그것뿐이니 ㅋㅋ	1
일본자국내의 감염원이 공항 항만을 통해 홰외로 나가는걸 막는 차원이 아닐까?	0
셀프컷 5년차다 목말라서 우물팠다 머리자르는거 생각보다 쉽다 1년에 한번정도 여자의 손길이 그리울때만 미용실간다	0
저런애들중에 나중에 기술사따면 인생 개 씹 ㅆㅌㅊ임	1
나랑 학력인증 할까?	0
이거 아직도 안끊났음? 벌써 종영한줄	0
박서준도 금사빠군..매력 떨어짐..쉬운남자	0
퇴근해 서씨	0
이거 공개하고 개욕먹고 주가 쳐박음	0
그런거 눌러줘야되는데	0
왜때렸나 했네 ㅋㅋ	0
솔직히 전혀 기대안된다. 핵노잼 예상 ㅋㅋ	0
나이팅게일임?	0
얼굴안보여서 ㅁㅈㅎ	0
영환[	0
조조자너	0
인스타 보고 소설쓰는게 기자인가?	0
방법을 모르니	0
남자 왤케 개 못생김. 급이 안맞네	1
언능회복해서나오세요홧팅	0
1 개꿀잼인데	0
옛날에 부산국제영화제에서 봤는데 멋있어요~	0
아이돌학교애들은 왜나온거냐	0
실무로 한게 아니라	0
위조된 신분으로 학교를 들어가다니	0
ㅇㅇ레알로 김치유행함ㅋㅋ	0
빠순이들또시작이네ㅋㅋ종특 마녀사냥	1
사진 천리마마트로 잘못 넣으셧어요 기자님	0
아...이태리... 흠...	0
깡패색히	1
그니까 결방한거네 ㅡㅡ	0
결국은 조직의 최상위 권력자들 따까리 밖엔 안됨	1
추자연 진짜 너무 연기 잘하그 아름답드라	0
주작하네 시발 니가 삼전 무선시업부라고? ㅋㅋㅋ	1
사실상내년 고티후보들	0
잘못한것도업는데와난리인지정해인화이팅!	0
요즘 남자들은 결혼하면 엄청 손해다.	0
엑박이나 플스로 가능	0
너무하노	0
기..좃같은 이야기.ㅋ	1
보아 누나 33살 맞죠?	0
너 별명이 몇개냐. 최종변기 다리털유천.	0
"셀럽파이브에서 김영희보낸건 ""신의 한수""다."	0
그런 한남들이랑은 근본부터가 다름	1
최근 하지원 가족사 안좋았는데 회복한건가?	0
역시 무식한 짱개오랑캐근성...ㅋㅋ	1
기술-공대-엔지니어기능-공고-테크니션기능공들은 기술인이라고 구라차지마~	0
그래픽 디지네	0
나두 정해인보구싶다고오ㅠ영자언니맘내맘ㅠ	0
너네나라로 껒여 외국인ㅅㄲ들	1
얘 페미자나? 여배우란 단어는 여혐이라던데?	1
가방로고 너무 크다ㅋㅋㅋ	0
태어나질 말았아야 하는 새끼들 진짜	1
돈 더 많으면 남 망하길 바라는게 정당화된다고 생각하면서 이런 댓글 남긴거노 ㅋㅋㅋㅋ	0
그리고 중견이하 중소 좆소는 솔직히 복불복이야	1
킬러조 오래간만에보네ㅋㅋ	0
게기판 옵션 넣으라는거지	0
이런 저능아들은 도대체 뭔생각하면서 사는지 모르겠네	1
랩퍼 컴백앞두고 살찐거여?	0
육덕 오타쿠 백마jpg	1
이거 장르가 뭔지 애매하던데 ㅋㅋ	0
진짜 매력잇고 이쁨	0
나오지 말기를 별로	0
일해서 사먹어	0
그겋봤네 ㅋㅋ	0
좆병신들 부페 맛없다고? 니 애미애비가 해주는밥 인증해서 올리고 그지랄 해라 븅신들아 애미가 밥안차려주면 방구석에서 라면이나 끓이고 있을 새끼들이 아가리는 시발	1
숙이는 영앤리치핸섬 만나야지ㅋㅋ무슨;;	0
개우끼노ㅋㅋㅋㅋ	0
맞는말인데 통레발은 이제 믿기가 힘듦,,	0
나머진 사각턱 유전자도 없고 쌍커플은 태어날때부터 있었음	0
그마 ㅋㅋㅋㅋ	0
우유에 햄버거는 군데리아잖아	0
친일파 자손 강동원	0
팩트)박한별도 총경이랑 같이 골프쳤다	0
존예여신,.. 왜케이뻐진짜	1
이 반일국뽕 개색기들은 일본을 배제하고 미국만 따르면 된다는 개소리를 하고 앉아있음	1
거인 고기 냠냠	0
전작 한들 해줬지 않았나	0
집에 선물준데요	0
모저런게뜨지 흠 짐 나라가 이모양인디	0
너무예쁘다 조윤희	0
돈많은데 터렛좀	0
ㄴㅈ	0
잘못된건 바로잡아야한다	0
에일리는 키가 커서 더멋있어섹시하고	0
좀 심했어	0
하여간 방송국 새끼들 나도 욕했었는데 미안하네	1
JYP가 친일기업 확실하구나	0
17키로 빼도 돼지실텐데...	1
어느소속사야? 진짜 죽여버리고싶어 ㅋㅋ	1
미국에서 낳았군여	0
중고나라식 거래 ㅋㅋㅋㅋ	0
멜로망스는 진짜 짱임	0
몇몇 쓰래기같은 댓글들은 더이상 상종안할랍니다	1
결혼식은 하는데 결혼은 아닙니다... ㅋㅋㅋ	0
그냥 누가봐도 비즈니스 커플인데..	0
아직 안정해짐 ㅋㅋ	0
경찰 vs 군무원 어떤게 더 낫냐	0
아니야	0
흥커로 컴백하실듯	0
방생하지마라	0
공부못하면 기술배워라는 말이 있잖아	0
돈이 다겠냐 이제 활동못할텐데	0
2 문씨가 제일 잘하는것이고	0
한달쯤 전에 돈이 필요해서 천주 팔았는데 그때 54,600인가 그랬는데 5백 손해본거같아 억울하다이기	0
아니 기부는 니 혼자해야지 팬은 왜 끌어들여	0
연습안하고 롤체돌린 니탓이지 뭐	0
초창기 주식병걸렸네 매매경력 1년미만예상해본다	0
존 윅	0
닉 커엽누	0
응답하라 남편찾기 만큼 흥미진진한 구찬성찾기	0
초롱이는 이제 아줌만느낌ㅜㅜ세월아ㅜㅜ	0
세다 껀뎅	0
외모 버프됐네	0
드립백 좋지요	0
당장 하차해라 느끼해서 구역질난다	1
90년대 인기가수 ㄴㅁㅎ 이라네요	1
더 많이 행복하시길	0
데스웅	0
진짜 크라이이시스네 ㅋㅋ	0
진짜 이유없이 싫은 배우중 한명임..	0
코딩 받아라	0
정미애씨 누구보다 더 예쁘요 목소리 좋고	0
